Element,D1,D3,D5,D7,D9,D11,D13,D15,D17,D19,D21,D23,D25,D27,D29,D31,D33,D35,D37,D39,D41,D43,D45,D47,D49,D51,D53,D55,D57,D59
Al,13,1.432,1.61,3,933,2792,2.7,577.539,897,1.24,26.982,10,10.7,293,326,1.47,235,1816.1,26,10,0.232,293.4,42.5,2.25,76,23.1,70,80.7,0.33556,4.28
Cr,24,1.249,1.66,6,2180,2944,7.19,652.869,449,1.3,51.996,7.23,20.5,339,397,1.56,94,1590.6,130,7.23,3.1,344.3,64.3,2.45,160,4.9,279,170,0.32333,4.5
V,23,1.316,1.63,5,2183,3680,6.12,650.908,489,1.44,50.942,8.32,22.8,453,515,1.45,31,1414,200,8.78,5.08,0.452,50.6,2.42,160,8.4,128,120,0.38013,4.3
Ti,22,1.462,1.54,4,1941,3560,4.5,658.813,524,1.48,47.867,10.64,18.7,425,471,1.32,22,1309.8,400,10.64,6.09,421,7.6,2.46,110,8.6,116,95.2,0.4468,4.33
Mo,42,1.363,2.16,6,2896,4912,10.23,684.316,251,1.46,95.95,9.38,36,600,659,1.3,139,1560,49.9,9.4,2.6,598,71.9,2.45,230,4.8,329,88.6,0.8949,4.6
Si,14,1.153,1.9,4,1687,3538,2.33,786.518,712,1.14,28.085,12.06,50.2,359,456,1.74,150,1577.1,1000000,12.1,0.171,384.22,133.6,2.19,100,2.6,47,144,0.26197,4.52
Nb,41,1.429,1.6,5,2750,5014,8.58,652.13,265,1.56,92.906,10.83,26.8,690,733,1.23,54,1380,150,10.87,1.15,682,86.1,2.56,170,7.3,105,104,0.69327,4.3
Zr,40,1.603,1.33,4,2128,4679,6.51,640.074,278,1.64,91.224,14.02,21,580,605,1.22,23,1270,420,14.1,0.184,58.2,41.1,2.52,91.1,5.7,88,80,0.8509,4.05
Ta,73,1.43,1.5,5,3290,5728,16.68,728.423,140,1.58,180.948,10.85,36,735,782,1.33,57,1500,130,10.9,20.6,743,31,2.57,200,6.3,186,110,1.3502,4.25
Hf,72,1.578,1.3,4,2506,4873,13.28,658.519,144,1.64,178.486,13.44,25.5,630,621,1.23,23,1440,300,13.6,104,575,0,2.53,110,5.9,78,81,1.6649,3.9
W,74,1.367,2.36,6,3695,5828,19.41,758.764,132,1.5,183.84,9.47,35,800,860,1.4,170,1700,49.9,9.53,18.3,824,78.6,2.49,310,4.5,411,140,1.1432,4.55
